,card_number,match_api_id,card_type,comment,elapsed,event_incident_typefk,card_id,n,player1,sortorder,stats,subtype,team,type,elapsed_plus,del,goal_type
108,3,489156,y,y,75,73,482315,321,23354,3,,serious_fouls,10252,card,,,
109,4,489156,y,y,89,73,482596,344,35544,1,,serious_fouls,8549,card,,,
110,1,489157,y,y,18,73,481324,227,42119,1,,serious_fouls,8456,card,,,
111,2,489157,y2,y2,26,177,481453,236,42119,1,,serious_fouls,8456,card,,,
112,3,489157,y,y,48,79,481904,237,34182,1,,verbal_abuse,8586,card,,,
113,4,489157,y,y,61,77,482128,285,30354,1,,shirt_pull,8586,card,,,
114,5,489157,r,r,83,63,482534,281,24211,1,,serious_fouls,8456,card,,,
115,6,489157,r,r,89,63,482639,331,40006,2,,serious_fouls,8586,card,,,
116,1,489158,y,y,61,70,481012,322,24136,2,,,8655,card,,,
117,2,489158,y,y,81,70,481189,324,49571,1,,,8655,card,,,
118,3,489158,y,y,86,73,481265,288,30679,1,,serious_fouls,8455,card,,,
119,1,489159,y,y,43,73,482557,291,26777,0,,serious_fouls,9879,card,,,
120,2,489159,y,y,66,73,482909,315,30929,0,,serious_fouls,10261,card,,,
121,3,489159,y,y,79,129,483058,293,30338,1,,hands,9879,card,,,
122,4,489159,y,y,88,73,483197,326,25518,1,,serious_fouls,10261,card,,,
123,1,489160,y,y,25,70,478386,256,23022,7,,,8667,card,,,
124,2,489160,y,y,41,73,478521,278,35532,1,,serious_fouls,8559,card,,,
125,3,489160,y,y,69,70,478907,301,23937,3,,,8559,card,,,
126,1,489161,y,y,10,73,477586,240,40695,1,,serious_fouls,10194,card,,,
127,2,489161,y,y,62,73,477887,291,38755,7,,serious_fouls,10194,card,,,
128,3,489161,y,y,74,73,477943,307,24230,3,,serious_fouls,8528,card,,,
129,4,489161,y,y,85,70,477994,317,23072,0,,,10194,card,,,
130,1,489162,y,y,43,73,487534,222,38755,4,,serious_fouls,10194,card,,,
131,2,489162,y,y,47,70,487713,228,25668,3,,,10194,card,,,
132,3,489162,y,y,62,70,488024,246,32569,4,,,10260,card,,,
133,1,489163,y,y,10,73,486980,243,39297,4,,serious_fouls,9825,card,,,
134,2,489163,y,y,19,73,487124,254,30613,0,,serious_fouls,9825,card,,,
135,3,489163,y,y,44,25,487549,289,30380,0,,stall_time,10252,card,,,
136,4,489163,y,y,55,73,487806,298,23782,1,,serious_fouls,10252,card,,,
137,5,489163,y,y,81,70,488271,330,23264,0,,,10252,card,,,
138,6,489163,y,y,90,73,488423,338,23283,1,,serious_fouls,10252,card,,,
139,1,489164,y,y,39,73,487477,240,24630,2,,serious_fouls,8462,card,,,
140,1,489165,y,y,65,73,490634,338,33128,1,,serious_fouls,8549,card,,,
141,2,489165,y,y,69,73,490657,346,24167,1,,serious_fouls,8549,card,,,
142,1,489166,y,y,16,73,487078,266,35472,0,,serious_fouls,8528,card,,,
143,2,489166,y,y,50,73,487773,305,25518,0,,serious_fouls,10261,card,,,
144,3,489166,y,y,50,73,487802,309,24230,5,,serious_fouls,8528,card,,,
145,4,489166,y2,y2,54,26,487861,317,35472,1,,,8528,card,,,
146,5,489166,y,y,57,73,487924,322,97988,4,,serious_fouls,8528,card,,,
147,1,489167,y,y,25,70,487302,258,24655,0,,,8472,card,,,
148,2,489167,y,y,33,70,487361,259,24136,1,,,8655,card,,,
149,3,489167,y,y,39,129,487463,264,24408,3,,hands,8472,card,,,
150,4,489167,y,y,29,70,487475,261,24740,0,,,8472,card,,,
151,5,489167,y,y,54,70,487844,278,35506,0,,,8655,card,,,
152,6,489167,y,y,54,70,487982,286,30988,0,,,8472,card,,,
153,7,489167,y,y,70,70,488130,292,23889,2,,,8655,card,,,
154,1,489168,y,y,16,129,487092,272,24741,3,,hands,9879,card,,,
155,1,489169,y,y,62,79,486618,284,23933,1,,verbal_abuse,8559,card,,,
156,2,489169,y,y,86,70,486785,317,30617,0,,,8650,card,,,
157,1,489170,y,y,52,73,488727,250,30627,0,,serious_fouls,8455,card,,,
158,2,489170,y,y,57,73,488742,261,25925,2,,serious_fouls,8455,card,,,
159,3,489170,y,y,78,73,488803,279,31306,4,,serious_fouls,8455,card,,,
160,1,489171,y,y,11,73,491357,277,23939,2,,serious_fouls,8456,card,,,
161,2,489171,y,y,25,73,491517,286,40132,2,,serious_fouls,8667,card,,,
162,3,489171,y,y,83,25,492357,354,30367,0,,stall_time,8456,card,,,
163,4,489171,y,y,84,25,492363,355,24213,0,,stall_time,8456,card,,,
164,5,489171,y,y,88,73,492402,361,34437,3,,serious_fouls,8667,card,,,
165,1,489173,y,y,19,73,499904,316,17866,5,,serious_fouls,8472,card,,,
166,2,489173,y,y,22,77,499938,323,36786,5,,shirt_pull,8472,card,,,
167,3,489173,y,y,28,73,500005,331,33049,5,,serious_fouls,8654,card,,,
168,1,489174,y,y,27,73,498829,271,25667,1,,serious_fouls,8655,card,,,
169,2,489174,y2,y2,39,177,498907,284,25667,1,,serious_fouls,8655,card,,,
170,3,489174,y,y,45,163,498989,299,23760,1,,diving,8586,card,2,,
171,4,489174,y,y,69,73,499318,312,37764,2,,serious_fouls,8655,card,,,
172,5,489174,y,y,88,176,499462,352,30818,1,,violence,8586,card,,,
173,6,489174,y,y,88,176,499464,327,38711,2,,violence,8655,card,,,
174,1,489175,y,y,77,73,497621,329,24658,1,,serious_fouls,10252,card,,,
175,1,489176,y,y,7,70,495145,236,24167,2,,,8549,card,,,
176,2,489176,y,y,22,73,495353,253,33128,3,,serious_fouls,8549,card,,,
177,3,489176,y,y,52,70,495996,280,35532,1,,,8559,card,,,
178,4,489176,y,y,63,77,496211,332,23783,1,,shirt_pull,8559,card,,,
179,5,489176,y,y,67,77,496292,335,23785,1,,shirt_pull,8559,card,,,
180,6,489176,y,y,70,70,496357,299,23933,3,,,8559,card,,,
181,7,489176,y,y,84,73,496576,319,23784,1,,serious_fouls,8559,card,,,
182,1,489177,y,y,87,73,496664,297,23678,2,,serious_fouls,9825,card,,,
183,1,489178,y,y,85,77,496630,377,25517,2,,shirt_pull,8462,card,,,
184,2,489178,y,y,86,73,496650,364,23605,4,,serious_fouls,8667,card,,,
185,3,489178,y,y,90,79,496805,371,24653,1,,verbal_abuse,8462,card,5,,
186,1,489179,y,y,88,73,496670,315,23275,4,,serious_fouls,10194,card,,,
187,1,489181,y,y,49,73,496016,347,33852,5,,serious_fouls,10261,card,,,
188,2,489181,y,y,86,73,496678,383,40565,7,,serious_fouls,10261,card,,,
189,1,489182,y,y,19,70,513147,249,24747,2,,,8654,card,,,
190,2,489182,y,y,54,203,513246,292,30889,1,,emergency_brake,8650,card,,,
191,1,489183,y,y,21,70,507138,258,30352,1,,,8472,card,,,
192,2,489183,y,y,42,73,507439,282,24446,1,,serious_fouls,8472,card,,,
193,3,489183,y,y,64,73,507882,305,36786,3,,serious_fouls,8472,card,,,
194,4,489183,y,y,88,79,508257,320,38836,1,,verbal_abuse,8472,card,,,
195,1,489184,y,y,32,73,510361,296,40006,3,,serious_fouls,8586,card,,,
196,2,489184,y,y,51,70,510682,319,36012,2,,,8668,card,,,
197,3,489184,y,y,64,77,510895,333,39618,2,,shirt_pull,8668,card,,,
198,4,489184,y,y,77,79,511093,342,30876,1,,verbal_abuse,8668,card,,,
199,1,489185,y,y,3,73,506886,250,30956,4,,serious_fouls,9879,card,,,
200,2,489185,y,y,84,73,508137,348,37266,1,,serious_fouls,9879,card,,,
201,1,489186,y,y,68,73,507929,250,35544,1,,serious_fouls,8549,card,,,
202,2,489186,y,y,81,70,508120,270,26209,1,,,10261,card,,,
203,1,489187,y,y,21,78,509581,268,38994,4,,kicked_ball_away,10260,card,,,
204,2,489187,y,y,33,73,509640,281,24148,1,,serious_fouls,10260,card,,,
205,3,489187,y,y,41,78,509693,292,24213,3,,kicked_ball_away,8456,card,,,
206,4,489187,y,y,45,73,509741,296,30340,2,,serious_fouls,8456,card,1,,
207,5,489187,y,y,59,73,509927,317,30893,1,,serious_fouls,10260,card,,,
208,6,489187,y,y,66,70,509945,324,32569,1,,,10260,card,,,
209,7,489187,y2,y2,68,202,509952,330,30893,3,,hands,10260,card,,,
210,8,489187,y,y,85,73,510148,342,34944,1,,serious_fouls,10260,card,,,
211,1,489188,y,y,42,73,510494,300,37764,0,,serious_fouls,8655,card,,,
212,1,489189,y,y,45,70,507498,275,23605,0,,,8667,card,1,,
213,2,489189,y,y,45,70,507505,272,40574,1,,,10194,card,2,,
214,3,489189,y,y,72,70,508051,305,23021,2,,,8667,card,,,
215,4,489189,y,y,83,73,508177,313,24133,1,,serious_fouls,10194,card,,,
216,5,489189,y,y,88,70,508269,319,26066,2,,,8667,card,,,
217,1,489190,y,y,48,25,507584,299,27267,0,,stall_time,8659,card,,,
218,2,489190,y,y,86,79,508164,350,24664,0,,verbal_abuse,8659,card,,,
219,1,489191,y,y,61,73,511694,299,30627,1,,serious_fouls,8455,card,,,
220,2,489191,y,y,85,73,511957,319,31306,1,,serious_fouls,8455,card,,,
221,1,489192,y,y,90,73,517592,344,30829,1,,serious_fouls,10260,card,2,,
222,1,489193,y,y,26,73,515574,262,97988,1,,serious_fouls,8528,card,,,
223,2,489193,y,y,63,73,516268,292,111865,1,,serious_fouls,8528,card,,,
224,3,489193,y,y,83,73,516545,314,30843,2,,serious_fouls,9825,card,,,
225,1,489194,y,y,78,73,521913,352,30966,3,,serious_fouls,8654,card,,,
226,2,489194,y,y,90,73,521946,366,37169,3,,serious_fouls,8654,card,1,,
227,1,489195,y,y,31,73,519993,265,30357,2,,serious_fouls,10252,card,,,
228,2,489195,y,y,45,73,520213,280,39618,4,,serious_fouls,8668,card,1,,
229,3,489195,y,y,90,70,520788,338,33086,0,,,8668,card,4,,
230,1,489196,y,y,84,73,516562,308,40574,3,,serious_fouls,10194,card,,,
231,1,489197,y,y,19,129,515506,215,30915,5,,hands,8650,card,,,
232,2,489197,y,y,43,73,515820,233,38711,1,,serious_fouls,8655,card,,,
233,3,489197,y,y,59,73,516145,249,37442,1,,serious_fouls,8650,card,,,
234,4,489197,y,y,60,73,516175,255,24136,2,,serious_fouls,8655,card,,,
235,1,489198,y,y,61,73,515080,251,37266,1,,serious_fouls,9879,card,,,
236,2,489198,y,y,74,73,515109,263,24213,2,,serious_fouls,8456,card,,,
237,3,489198,y,y,90,73,515178,284,24843,3,,serious_fouls,9879,card,1,,
238,1,489199,y,y,18,73,515497,232,23934,3,,serious_fouls,8559,card,,,
239,2,489199,y,y,65,77,516301,302,24336,2,,shirt_pull,8559,card,,,
240,3,489199,y,y,82,73,516543,296,30699,2,,serious_fouls,8455,card,,,
241,1,489200,y,y,42,70,519524,215,25517,1,,,8462,card,,,
242,2,489200,y,y,60,70,519834,234,26527,0,,,8659,card,,,
243,3,489200,y,y,90,73,520271,266,34036,3,,serious_fouls,8462,card,4,,
244,1,489201,y,y,57,73,516160,315,23023,2,,serious_fouls,8667,card,,,
245,2,489201,y,y,75,73,516455,344,42183,2,,serious_fouls,8549,card,,,
246,3,489201,r,r,84,63,516608,342,24166,1,,serious_fouls,8549,card,,,
247,1,489202,y,y,25,203,526851,340,40132,1,,emergency_brake,8667,card,,,
248,2,489202,y,y,45,73,527227,345,30595,0,,serious_fouls,8667,card,3,,
249,3,489202,y,y,47,73,527350,357,34437,1,,serious_fouls,8667,card,,,
250,4,489202,y,y,83,73,527945,402,46621,1,,serious_fouls,8650,card,,,
251,5,489202,y,y,88,73,528032,419,24134,3,,serious_fouls,8650,card,,,
252,6,489202,y,y,90,203,528090,423,30889,1,,emergency_brake,8650,card,3,,
253,1,489203,y,y,47,79,527331,303,36373,1,,verbal_abuse,8659,card,,,
254,2,489203,y,y,55,73,527473,319,24728,8,,serious_fouls,8659,card,,,
255,3,489203,y,y,73,79,527754,336,24740,0,,verbal_abuse,8472,card,,,
256,1,489204,y,y,56,73,528454,322,24656,3,,serious_fouls,8586,card,,,
257,2,489204,y,y,62,73,528479,330,38994,2,,serious_fouls,10260,card,,,
258,1,489205,y,y,28,73,526883,231,24336,1,,serious_fouls,8559,card,,,
259,1,489206,y,y,47,73,526149,266,27277,1,,serious_fouls,9825,card,,,
260,1,489207,y,y,90,73,528040,287,39618,1,,serious_fouls,8668,card,,,
261,1,489208,y,y,38,73,529602,238,24216,5,,serious_fouls,8462,card,,,
262,2,489208,y,y,70,77,529848,275,33852,4,,shirt_pull,10261,card,,,
263,3,489208,y,y,78,70,529887,279,36286,5,,,8462,card,,,
264,4,489208,y,y,85,73,529937,290,24653,1,,serious_fouls,8462,card,,,
265,5,489208,y,y,88,78,529956,294,30348,1,,kicked_ball_away,8462,card,,,
266,1,489209,y,y,11,73,526637,272,38755,1,,serious_fouls,10194,card,,,
267,2,489209,y,y,44,129,527171,300,24737,6,,hands,9879,card,,,
268,1,489210,y,y,64,176,527618,298,24528,2,,violence,8528,card,,,
269,2,489210,y,y,81,73,527908,315,23921,2,,serious_fouls,8655,card,,,
270,1,489211,y,y,21,73,530335,239,32345,1,,serious_fouls,8455,card,,,
271,2,489211,y,y,33,79,530417,248,30699,2,,verbal_abuse,8455,card,,,
272,3,489211,y,y,37,73,530439,252,38834,2,,serious_fouls,8455,card,,,
273,4,489211,y,y,40,70,530451,255,34543,0,,,8654,card,,,
274,5,489211,y,y,45,73,530491,261,33781,1,,serious_fouls,8654,card,1,,
275,1,489212,y,y,49,73,551678,278,24230,0,,serious_fouls,8528,card,,,
276,2,489212,y,y,52,73,551706,281,25005,1,,serious_fouls,8528,card,,,
277,3,489212,y,y,52,70,551723,285,127857,2,,,8528,card,,,
278,1,489213,y,y,20,73,537026,212,24635,1,,serious_fouls,8650,card,,,
279,2,489213,y,y,38,73,537149,222,30960,1,,serious_fouls,9825,card,,,
280,3,489213,y2,y2,62,177,537368,247,30960,1,,serious_fouls,9825,card,,,
281,4,489213,y,y,66,73,537394,250,30843,1,,serious_fouls,9825,card,,,
282,5,489213,y,y,70,73,537427,252,26111,0,,serious_fouls,9825,card,,,
283,6,489213,y,y,72,77,537453,258,30617,2,,shirt_pull,8650,card,,,
284,7,489213,y,y,81,73,537518,262,95327,1,,serious_fouls,8650,card,,,
285,1,489214,y,y,67,73,534842,319,30687,2,,serious_fouls,8654,card,,,
286,2,489214,y,y,72,73,534865,325,38807,3,,serious_fouls,10252,card,,,
287,3,489214,y,y,80,79,534967,342,33781,0,,verbal_abuse,8654,card,,,
288,1,489215,r,r,35,63,538311,260,30627,3,,serious_fouls,8455,card,,,
289,2,489215,y,y,42,79,538318,257,30631,1,,verbal_abuse,8455,card,,,
290,3,489215,y,y,42,79,538328,262,38834,2,,verbal_abuse,8455,card,,,
291,4,489215,y,y,67,79,538387,289,30699,1,,verbal_abuse,8455,card,,,
292,1,489216,y,y,10,73,536533,241,37475,2,,serious_fouls,10261,card,,,
293,2,489216,y,y,62,163,537013,292,24656,4,,diving,8586,card,,,
294,3,489216,y,y,87,73,537179,321,31097,1,,serious_fouls,8586,card,,,
295,4,489216,y,y,89,73,537191,319,33852,1,,serious_fouls,10261,card,,,
296,5,489216,y,y,90,70,537238,328,34574,0,,,10261,card,1,,
297,1,489217,y,y,33,73,533872,276,35636,2,,serious_fouls,10194,card,,,
298,2,489217,y,y,45,73,534008,288,23072,1,,serious_fouls,10194,card,4,,
299,1,489218,y,y,37,73,534011,227,35544,1,,serious_fouls,8549,card,,,
300,2,489218,y,y,52,129,534137,245,24162,1,,hands,8549,card,,,
301,1,489219,y,y,43,73,534013,274,30348,1,,serious_fouls,8462,card,,,
302,2,489219,y,y,67,79,534211,297,26454,0,,verbal_abuse,8559,card,,,
303,1,489220,y,y,51,73,536353,304,24728,2,,serious_fouls,8659,card,,,
304,2,489220,y,y,89,77,536611,338,24211,1,,shirt_pull,8456,card,,,
305,3,489220,y,y,90,70,536719,345,32570,1,,,8659,card,3,,
306,1,489221,y,y,16,77,533739,201,30595,2,,shirt_pull,8667,card,,,
307,2,489221,y,y,71,70,534235,259,30352,2,,,8472,card,,,
308,3,489221,y,y,76,73,534274,266,34430,1,,serious_fouls,8667,card,,,
309,4,489221,y,y,86,70,534356,267,23352,0,,,8667,card,,,
310,5,489221,y2,y2,81,177,534448,287,34430,2,,serious_fouls,8667,card,,,
311,1,489222,y,y,44,73,539843,306,23933,3,,serious_fouls,8559,card,,,
312,2,489222,y,y,46,73,539905,310,26454,4,,serious_fouls,8559,card,,,
313,3,489222,y,y,56,73,540003,322,25984,0,,serious_fouls,8650,card,,,
314,4,489222,y,y,80,73,540256,347,23784,3,,serious_fouls,8559,card,,,
315,1,489224,y,y,23,73,539628,243,37764,1,,serious_fouls,8655,card,,,
316,2,489224,y,y,31,73,539720,252,34947,1,,serious_fouls,8655,card,,,
317,3,489224,y,y,47,129,539952,270,19020,2,,hands,8655,card,,,
318,1,489225,y,y,79,73,539255,274,24781,1,,serious_fouls,9879,card,,,
319,1,489226,y,y,24,73,540537,278,23678,2,,serious_fouls,9825,card,,,
320,2,489226,y,y,36,73,540569,297,30831,2,,serious_fouls,9825,card,,,
321,3,489226,y,y,51,70,540605,304,27277,0,,,9825,card,,,
322,4,489226,y,y,72,70,540663,317,23264,2,,,10252,card,,,
323,5,489226,y,y,77,73,540674,324,30843,1,,serious_fouls,9825,card,,,
324,6,489226,y,y,77,70,540675,334,24780,2,,,10252,card,,,
325,7,489226,y,y,82,79,540692,344,38609,0,,verbal_abuse,10252,card,,,
326,8,489226,y,y,90,73,540726,349,23782,1,,serious_fouls,10252,card,4,,
327,1,489227,y,y,29,73,539684,249,39618,1,,serious_fouls,8668,card,,,
328,2,489227,y,y,45,77,539846,281,35544,1,,shirt_pull,8549,card,,,
329,3,489227,y,y,65,70,540113,308,24163,1,,,8549,card,,,
330,4,489227,y,y,72,163,540176,309,24159,2,,diving,8549,card,,,
331,5,489227,y,y,88,325,540366,331,24161,2,,pushing,8549,card,,,
332,6,489227,y,y,90,325,540387,322,24162,1,,pushing,8549,card,,,
333,1,489228,y,y,45,73,539874,251,39073,1,,serious_fouls,8667,card,1,,
334,2,489228,y,y,72,70,540191,277,23034,3,,,8667,card,,,
335,3,489228,y,y,72,73,540219,282,26066,3,,serious_fouls,8667,card,,,
336,4,489228,y,y,75,70,540237,298,32577,5,,,8667,card,,,
337,1,489229,y,y,44,73,538871,280,47418,2,,serious_fouls,8462,card,,,
338,2,489229,y,y,45,70,538906,353,37169,1,,,8654,card,2,,
339,3,489229,y,y,65,77,539149,344,30966,3,,shirt_pull,8654,card,,,
340,4,489229,y,y,86,73,539305,352,24223,1,,serious_fouls,8654,card,,,
341,1,489230,y,y,21,73,538554,241,23072,2,,serious_fouls,10194,card,,,
342,2,489230,y,y,26,73,538593,238,43248,5,,serious_fouls,10260,card,,,
343,3,489230,y,y,28,73,538604,257,23369,5,,serious_fouls,10194,card,,,
344,4,489230,y,y,43,79,538742,251,38755,2,,verbal_abuse,10194,card,,,
345,5,489230,y2,y2,72,177,539067,308,23369,1,,serious_fouls,10194,card,,,
346,6,489230,y,y,87,176,539200,304,30615,1,,violence,10260,card,,,
